script_id,script_number,model,prompt_type,language,category,snippet,script_path,ok_runs,failed_runs,total_runs,elapsed_seconds_mean,elapsed_seconds_median,elapsed_seconds_std,elapsed_seconds_min,elapsed_seconds_max,energy_joules_mean,energy_joules_median,energy_joules_std,energy_joules_min,energy_joules_max,avg_power_watts_mean,avg_power_watts_median,avg_power_watts_std,avg_power_watts_min,avg_power_watts_max
script_14,14,gemini,base,r,machine_learning_workflows,02_regression_workflow_feature_importance,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gemini/base/r/machine_learning_workflows/02_regression_workflow_feature_importance.R,30,0,30,2.785466232,2.788038202,0.010832493,2.764076883,2.806102494,47.654333333,47.600000000,0.784143211,45.640000000,48.920000000,17.108729149,17.093280624,0.305683394,16.331236207,17.629755634
script_15,15,gemini,base,r,statistical_modelling_analysis,01_linear_regression_inference,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gemini/base/r/statistical_modelling_analysis/01_linear_regression_inference.R,30,0,30,0.088737707,0.088340701,0.002179711,0.086407064,0.096858925,1.478666667,1.470000000,0.038482717,1.430000000,1.570000000,16.668486833,16.535245684,0.452690831,15.866725684,17.578297910
script_16,16,gemini,base,r,statistical_modelling_analysis,02_logistic_regression_odds_ratios,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gemini/base/r/statistical_modelling_analysis/02_logistic_regression_odds_ratios.R,30,0,30,0.091079714,0.090502768,0.002069514,0.088719117,0.098048288,1.537666667,1.510000000,0.108903099,1.430000000,1.980000000,16.876062698,16.622994672,0.992065803,15.910527678,20.812667607
script_17,17,gemini,optimized,python,data_manipulation_preprocessing,01_impute_encode_scale,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gemini/optimized/python/data_manipulation_preprocessing/01_impute_encode_scale.py,30,0,30,0.172296340,0.172217438,0.000464275,0.171585357,0.173490490,2.838000000,2.840000000,0.040547971,2.780000000,2.950000000,16.471437898,16.497742077,0.216947558,16.141921352,17.043476557
script_18,18,gemini,optimized,python,data_manipulation_preprocessing,02_merge_aggregate_reshape,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gemini/optimized/python/data_manipulation_preprocessing/02_merge_aggregate_reshape.py,30,0,30,0.617526968,0.617887558,0.002251714,0.613541163,0.622054003,9.986000000,9.975000000,0.120933153,9.760000000,10.170000000,16.171044599,16.153903054,0.194755371,15.759371805,16.530654973
script_19,19,gemini,optimized,python,data_visualization,01_scatter_trend_grouped,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gemini/optimized/python/data_visualization/01_scatter_trend_grouped.py,30,0,30,0.371753753,0.371768840,0.001141575,0.369528721,0.374417683,6.204000000,6.205000000,0.074814714,6.070000000,6.320000000,16.688575372,16.692711376,0.204022578,16.309027998,17.096609932
script_20,20,gemini,optimized,python,data_visualization,02_distribution_boxplot,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gemini/optimized/python/data_visualization/02_distribution_boxplot.py,30,0,30,0.482941030,0.483351527,0.001581829,0.478618469,0.485372988,8.126000000,8.140000000,0.090233414,7.920000000,8.290000000,16.826354260,16.875273790,0.204136994,16.356984444,17.198144765
script_21,21,gemini,optimized,python,machine_learning_workflows,01_pipeline_cv_gridsearch_classification,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gemini/optimized/python/machine_learning_workflows/01_pipeline_cv_gridsearch_classification.py,30,0,30,2.576282383,2.573650640,0.009628568,2.564021499,2.599930983,43.083666667,43.060000000,0.423584729,42.150000000,43.810000000,16.723232102,16.739124898,0.156418196,16.356683556,16.971932966
script_22,22,gemini,optimized,python,machine_learning_workflows,02_regression_workflow_feature_importance,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gemini/optimized/python/machine_learning_workflows/02_regression_workflow_feature_importance.py,30,0,30,12.209331725,12.203199055,0.041372333,12.145092625,12.355527100,195.252333333,194.865000000,2.299665168,190.350000000,199.390000000,15.992218463,15.949973869,0.194644992,15.586241625,16.343229456
script_23,23,gemini,optimized,python,statistical_modelling_analysis,01_linear_regression_inference,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gemini/optimized/python/statistical_modelling_analysis/01_linear_regression_inference.py,30,0,30,0.579221166,0.579143632,0.001780733,0.575959226,0.582328583,9.610333333,9.645000000,0.139493748,9.360000000,9.860000000,16.591986192,16.635800460,0.247210848,16.120658166,17.119267398
script_24,24,gemini,optimized,python,statistical_modelling_analysis,02_logistic_regression_odds_ratios,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gemini/optimized/python/statistical_modelling_analysis/02_logistic_regression_odds_ratios.py,30,0,30,0.730111945,0.730070987,0.003131767,0.724370100,0.735144393,11.921000000,11.920000000,0.133838554,11.670000000,12.200000000,16.328060087,16.297310606,0.207620842,15.925355275,16.692829918
script_25,25,gemini,optimized,r,data_manipulation_preprocessing,01_impute_encode_scale,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gemini/optimized/r/data_manipulation_preprocessing/01_impute_encode_scale.R,30,0,30,0.081210835,0.081264417,0.000615341,0.079661760,0.082581910,1.351333333,1.340000000,0.034213663,1.310000000,1.430000000,16.639999238,16.555527754,0.411054658,16.161964829,17.885529882
script_26,26,gemini,optimized,r,data_manipulation_preprocessing,02_merge_aggregate_reshape,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gemini/optimized/r/data_manipulation_preprocessing/02_merge_aggregate_reshape.R,30,0,30,0.081110346,0.081211518,0.000539934,0.079985729,0.082821795,1.340333333,1.335000000,0.034389587,1.290000000,1.420000000,16.525765717,16.439714059,0.449163757,15.961347412,17.753166943
script_27,27,gemini,optimized,r,data_visualization,01_scatter_trend_grouped,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gemini/optimized/r/data_visualization/01_scatter_trend_grouped.R,30,0,30,0.102753446,0.102171407,0.002247374,0.100094357,0.110038603,1.723666667,1.720000000,0.038280573,1.670000000,1.800000000,16.778829766,16.811123931,0.384356456,16.002984702,17.450837122
script_28,28,gemini,optimized,r,data_visualization,02_distribution_boxplot,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gemini/optimized/r/data_visualization/02_distribution_boxplot.R,30,0,30,0.103847301,0.103917900,0.000921418,0.102021735,0.105876096,1.709666667,1.710000000,0.042302958,1.640000000,1.830000000,16.462405905,16.412413478,0.338864228,16.004209592,17.497023618
script_29,29,gemini,optimized,r,machine_learning_workflows,01_pipeline_cv_gridsearch_classification,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gemini/optimized/r/machine_learning_workflows/01_pipeline_cv_gridsearch_classification.R,30,0,30,1.999233237,1.961573042,0.149721990,1.794539294,2.424003096,36.098000000,35.760000000,2.382531832,32.680000000,43.010000000,18.069284989,18.112273497,0.360266942,17.417037799,18.645415277
script_30,30,gemini,optimized,r,machine_learning_workflows,02_regression_workflow_feature_importance,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gemini/optimized/r/machine_learning_workflows/02_regression_workflow_feature_importance.R,30,0,30,2.523627573,2.482839356,0.224674696,2.458836343,3.709996264,43.486000000,43.590000000,0.514396868,41.960000000,44.840000000,17.324548477,17.512110075,1.098418991,11.609176111,17.807763860
script_31,31,gemini,optimized,r,statistical_modelling_analysis,01_linear_regression_inference,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gemini/optimized/r/statistical_modelling_analysis/01_linear_regression_inference.R,30,0,30,0.088508969,0.087923500,0.002220707,0.086462833,0.096735298,1.468000000,1.460000000,0.036045948,1.410000000,1.580000000,16.589722188,16.547756410,0.361610711,16.039396758,17.579807962
script_32,32,gemini,optimized,r,statistical_modelling_analysis,02_logistic_regression_odds_ratios,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gemini/optimized/r/statistical_modelling_analysis/02_logistic_regression_odds_ratios.R,30,0,30,0.090174915,0.090212555,0.001071653,0.088528927,0.095061285,1.485666667,1.480000000,0.034609480,1.420000000,1.580000000,16.475821582,16.422882591,0.352918385,15.814905201,17.508401519
script_33,33,gpt,base,python,data_manipulation_preprocessing,01_impute_encode_scale,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gpt/base/python/data_manipulation_preprocessing/01_impute_encode_scale.py,30,0,30,0.585262018,0.584988029,0.001955328,0.581926460,0.590572746,9.594666667,9.615000000,0.127731759,9.330000000,9.840000000,16.393720583,16.418371778,0.205185788,15.963560722,16.809937358
script_34,34,gpt,base,python,data_manipulation_preprocessing,02_merge_aggregate_reshape,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gpt/base/python/data_manipulation_preprocessing/02_merge_aggregate_reshape.py,30,0,30,0.173717782,0.173717571,0.000828661,0.171726871,0.175239984,2.832666667,2.835000000,0.034534674,2.770000000,2.920000000,16.306658081,16.280311903,0.225977685,15.902030358,16.913361070
script_35,35,gpt,base,python,data_visualization,01_scatter_trend_grouped,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gpt/base/python/data_visualization/01_scatter_trend_grouped.py,30,0,30,0.825311531,0.825947098,0.003457792,0.816523488,0.831595185,13.692000000,13.685000000,0.167792976,13.400000000,14.030000000,16.590008520,16.569282283,0.182774985,16.218252818,16.989253930
script_36,36,gpt,base,python,data_visualization,02_distribution_boxplot,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gpt/base/python/data_visualization/02_distribution_boxplot.py,30,0,30,0.458428179,0.458518391,0.001538299,0.454617925,0.461295475,7.570333333,7.585000000,0.087512889,7.370000000,7.740000000,16.513678915,16.524061233,0.183296906,16.103012540,16.798743566
script_37,37,gpt,base,python,machine_learning_workflows,01_pipeline_cv_gridsearch_classification,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gpt/base/python/machine_learning_workflows/01_pipeline_cv_gridsearch_classification.py,30,0,30,2.417467187,2.416129888,0.007029566,2.406951917,2.438191511,40.340000000,40.405000000,0.519309887,38.670000000,41.040000000,16.686751471,16.729880579,0.198156724,16.065962817,16.980112515
script_38,38,gpt,base,python,machine_learning_workflows,02_regression_workflow_feature_importance,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gpt/base/python/machine_learning_workflows/02_regression_workflow_feature_importance.py,30,0,30,12.232808552,12.227096847,0.029881910,12.175712112,12.297267529,196.142666667,196.075000000,2.514058312,191.830000000,200.460000000,16.034246981,16.039994565,0.209614764,15.603102153,16.403627423
script_39,39,gpt,base,python,statistical_modelling_analysis,01_linear_regression_inference,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gpt/base/python/statistical_modelling_analysis/01_linear_regression_inference.py,30,0,30,0.579911200,0.579607013,0.001791993,0.576567919,0.583013411,9.571333333,9.555000000,0.099229213,9.360000000,9.750000000,16.504983452,16.502301281,0.178731991,16.080999914,16.757285778
script_40,40,gpt,base,python,statistical_modelling_analysis,02_logistic_regression_odds_ratios,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gpt/base/python/statistical_modelling_analysis/02_logistic_regression_odds_ratios.py,30,0,30,0.732982706,0.734064525,0.003148131,0.726748762,0.737887843,12.094000000,12.105000000,0.154509234,11.750000000,12.340000000,16.499825379,16.500037001,0.208466066,16.008751531,16.822545295
script_41,41,gpt,base,r,data_manipulation_preprocessing,01_impute_encode_scale,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gpt/base/r/data_manipulation_preprocessing/01_impute_encode_scale.R,30,0,30,0.419810805,0.422290321,0.005776332,0.411798433,0.434010511,7.194000000,7.180000000,0.104834845,6.980000000,7.470000000,17.138114439,17.094616814,0.267084490,16.704664556,17.678025078
script_42,42,gpt,base,r,data_manipulation_preprocessing,02_merge_aggregate_reshape,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gpt/base/r/data_manipulation_preprocessing/02_merge_aggregate_reshape.R,30,0,30,0.426436040,0.428861593,0.004656665,0.418543150,0.430966072,7.415666667,7.395000000,0.093243594,7.260000000,7.610000000,17.391371338,17.421761198,0.256205384,16.934004408,18.049034383
script_44,44,gpt,base,r,data_visualization,02_distribution_boxplot,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gpt/base/r/data_visualization/02_distribution_boxplot.R,30,0,30,0.584281617,0.583578758,0.002264049,0.581358653,0.591553051,10.520333333,10.525000000,0.103905903,10.290000000,10.720000000,18.005722637,18.035437273,0.178309166,17.605131950,18.313309077
script_45,45,gpt,base,r,machine_learning_workflows,01_pipeline_cv_gridsearch_classification,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gpt/base/r/machine_learning_workflows/01_pipeline_cv_gridsearch_classification.R,30,0,30,2.295490549,2.239826391,0.185648215,2.058139661,3.009742135,41.804666667,41.045000000,3.418520282,37.560000000,55.000000000,18.212145969,18.245904806,0.252386198,17.655967808,18.621595043
script_46,46,gpt,base,r,machine_learning_workflows,02_regression_workflow_feature_importance,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gpt/base/r/machine_learning_workflows/02_regression_workflow_feature_importance.R,30,0,30,1.773843428,1.775660328,0.013644423,1.752753580,1.799673927,30.934333333,30.935000000,0.430962702,29.860000000,31.580000000,17.440266537,17.392244052,0.285045524,16.813788811,17.943044869
script_48,48,gpt,base,r,statistical_modelling_analysis,02_logistic_regression_odds_ratios,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gpt/base/r/statistical_modelling_analysis/02_logistic_regression_odds_ratios.R,30,0,30,0.415753000,0.413181882,0.005220529,0.410165441,0.425833394,7.104333333,7.110000000,0.097509799,6.880000000,7.310000000,17.090190732,17.143356611,0.300815774,16.313532706,17.509312669
script_49,49,gpt,optimized,python,data_manipulation_preprocessing,01_impute_encode_scale,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gpt/optimized/python/data_manipulation_preprocessing/01_impute_encode_scale.py,30,0,30,0.172942092,0.172944082,0.000625573,0.171162846,0.174072834,2.795000000,2.785000000,0.040064603,2.720000000,2.870000000,16.161792391,16.095224218,0.246757738,15.741817434,16.629461000
script_50,50,gpt,optimized,python,data_manipulation_preprocessing,02_merge_aggregate_reshape,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gpt/optimized/python/data_manipulation_preprocessing/02_merge_aggregate_reshape.py,30,0,30,0.173389613,0.173544930,0.000668479,0.171926392,0.174692563,2.866000000,2.865000000,0.037471828,2.800000000,2.930000000,16.529591095,16.475877454,0.233333783,16.173324715,16.928794313
script_51,51,gpt,optimized,python,data_visualization,01_scatter_trend_grouped,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gpt/optimized/python/data_visualization/01_scatter_trend_grouped.py,30,0,30,0.371523069,0.371397158,0.001663825,0.368020147,0.375326471,6.117333333,6.105000000,0.102416773,5.950000000,6.340000000,16.465283456,16.423372120,0.247595456,16.063461287,17.072707764
script_52,52,gpt,optimized,python,data_visualization,02_distribution_boxplot,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gpt/optimized/python/data_visualization/02_distribution_boxplot.py,30,0,30,0.459832845,0.459799929,0.001644406,0.456416836,0.463046252,7.666000000,7.660000000,0.084224659,7.530000000,7.860000000,16.671232463,16.649649969,0.168860987,16.389743367,17.096605214
script_53,53,gpt,optimized,python,machine_learning_workflows,01_pipeline_cv_gridsearch_classification,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gpt/optimized/python/machine_learning_workflows/01_pipeline_cv_gridsearch_classification.py,30,0,30,2.443803195,2.439787326,0.016655367,2.425810615,2.522965832,40.609000000,40.520000000,0.672459972,39.050000000,42.120000000,16.616729268,16.626744843,0.221686601,16.030799332,16.967800930
script_54,54,gpt,optimized,python,machine_learning_workflows,02_regression_workflow_feature_importance,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gpt/optimized/python/machine_learning_workflows/02_regression_workflow_feature_importance.py,30,0,30,12.245855177,12.238450025,0.033153982,12.170004960,12.328195664,195.335333333,195.680000000,2.912571720,188.690000000,200.620000000,15.951068476,15.952271243,0.229012641,15.471691320,16.400719466
script_55,55,gpt,optimized,python,statistical_modelling_analysis,01_linear_regression_inference,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gpt/optimized/python/statistical_modelling_analysis/01_linear_regression_inference.py,30,0,30,0.581159646,0.580995223,0.002391485,0.576560028,0.587111244,9.503666667,9.490000000,0.102670660,9.300000000,9.670000000,16.353167246,16.376068940,0.185691566,15.974916591,16.662692367
script_56,56,gpt,optimized,python,statistical_modelling_analysis,02_logistic_regression_odds_ratios,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gpt/optimized/python/statistical_modelling_analysis/02_logistic_regression_odds_ratios.py,30,0,30,0.731472403,0.731047509,0.002668505,0.727009013,0.736734178,12.068666667,12.065000000,0.142966920,11.750000000,12.310000000,16.499160821,16.493731658,0.187854284,16.151639876,16.831019082
script_57,57,gpt,optimized,r,data_manipulation_preprocessing,01_impute_encode_scale,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gpt/optimized/r/data_manipulation_preprocessing/01_impute_encode_scale.R,30,0,30,0.391343554,0.389943392,0.004186867,0.384283371,0.401100413,6.750666667,6.750000000,0.082375646,6.540000000,6.910000000,17.251109553,17.264693548,0.225660606,16.791547283,17.718390224
script_58,58,gpt,optimized,r,data_manipulation_preprocessing,02_merge_aggregate_reshape,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gpt/optimized/r/data_manipulation_preprocessing/02_merge_aggregate_reshape.R,30,0,30,0.385971235,0.384837918,0.003301653,0.382463965,0.394107740,6.639000000,6.640000000,0.074941356,6.510000000,6.830000000,17.201589924,17.164675280,0.213320235,16.712342526,17.662191711
script_59,59,gpt,optimized,r,data_visualization,01_scatter_trend_grouped,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gpt/optimized/r/data_visualization/01_scatter_trend_grouped.R,30,0,30,0.406201651,0.407716372,0.005444894,0.395846238,0.416456991,6.950333333,6.950000000,0.075451895,6.830000000,7.140000000,17.112806604,17.153367702,0.247533457,16.539442562,17.518583679
script_60,60,gpt,optimized,r,data_visualization,02_distribution_boxplot,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gpt/optimized/r/data_visualization/02_distribution_boxplot.R,30,0,30,0.367661944,0.368620000,0.004861077,0.359908684,0.377635018,6.381000000,6.385000000,0.073688534,6.240000000,6.520000000,17.357459981,17.339197073,0.232241550,16.965527628,18.019827321
script_61,61,gpt,optimized,r,machine_learning_workflows,01_pipeline_cv_gridsearch_classification,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gpt/optimized/r/machine_learning_workflows/01_pipeline_cv_gridsearch_classification.R,30,0,30,103.959037199,101.800452136,5.977797402,96.200337619,116.842010434,1857.952000000,1844.020000000,102.650006211,1692.070000000,2089.420000000,17.875374352,17.833600612,0.234004451,17.485662840,18.370616619
script_62,62,gpt,optimized,r,machine_learning_workflows,02_regression_workflow_feature_importance,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gpt/optimized/r/machine_learning_workflows/02_regression_workflow_feature_importance.R,30,0,30,1.742035885,1.740623010,0.011397867,1.726433611,1.761019707,30.469666667,30.415000000,0.412456755,29.480000000,31.210000000,17.491171957,17.529211826,0.234684047,17.007538674,17.896345935
script_63,63,gpt,optimized,r,statistical_modelling_analysis,01_linear_regression_inference,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gpt/optimized/r/statistical_modelling_analysis/01_linear_regression_inference.R,30,0,30,0.385435653,0.385174557,0.002490795,0.380542585,0.391957954,6.738666667,6.745000000,0.070697673,6.580000000,6.900000000,17.483913379,17.486203816,0.212093533,16.990978658,17.892781583
script_64,64,gpt,optimized,r,statistical_modelling_analysis,02_logistic_regression_odds_ratios,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/gpt/optimized/r/statistical_modelling_analysis/02_logistic_regression_odds_ratios.R,30,0,30,0.344555548,0.346097200,0.004355731,0.336981182,0.350824599,5.842000000,5.850000000,0.068551516,5.710000000,5.980000000,16.957098277,16.903785691,0.247591215,16.588012559,17.511833209
script_66,66,llama,base,python,data_manipulation_preprocessing,02_merge_aggregate_reshape,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/llama/base/python/data_manipulation_preprocessing/02_merge_aggregate_reshape.py,30,0,30,0.618431305,0.619095343,0.002034682,0.613426104,0.622009866,9.945333333,9.900000000,0.118022012,9.810000000,10.280000000,16.081873606,16.021072918,0.210875082,15.826562940,16.643749338
script_67,67,llama,base,python,data_visualization,01_scatter_trend_grouped,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/llama/base/python/data_visualization/01_scatter_trend_grouped.py,30,0,30,0.826591630,0.827212085,0.002774691,0.816394213,0.830687343,13.751333333,13.740000000,0.185913093,13.460000000,14.140000000,16.636390818,16.602273949,0.233250234,16.221742240,17.119741762
script_68,68,llama,base,python,data_visualization,02_distribution_boxplot,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/llama/base/python/data_visualization/02_distribution_boxplot.py,30,0,30,0.473745265,0.473823263,0.002079588,0.469534523,0.478129200,7.844666667,7.855000000,0.111687166,7.610000000,8.030000000,16.558957234,16.583836213,0.233737754,16.061641787,16.917102622
script_69,69,llama,base,python,machine_learning_workflows,01_pipeline_cv_gridsearch_classification,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/llm_translations/llama/base/python/machine_learning_workflows/01_pipeline_cv_gridsearch_classification.py,30,0,30,2.283745756,2.282165629,0.009290696,2.268293857,2.310649886,37.694666667,37.865000000,0.630570258,35.750000000,38.540000000,16.505645224,16.567440543,0.269269210,15.717055287,16.872802078
